APY,APY_BASE,APY_REWARD,TVL,DATE
4.4297,4.4297,,567541181,2023-01-16T23:02:00.705Z
4.43662,4.43662,,569041332,2023-01-17T23:02:06.680Z
4.29211,4.29211,,554654937,2023-01-18T23:02:10.232Z
4.59713,4.59713,,564710310,2023-01-19T23:02:08.660Z
4.80261,4.80261,,604370848,2023-01-20T23:01:43.288Z
4.68479,4.68479,,608526076,2023-01-21T23:01:58.136Z
4.66088,4.66088,,607720131,2023-01-22T17:01:51.639Z
4.65607,4.65607,,604792046,2023-01-23T23:02:00.610Z
4.52803,4.52803,,585200707,2023-01-24T23:02:04.174Z
4.41449,4.41449,,590890773,2023-01-25T23:01:57.820Z
4.48481,4.48481,,604432976,2023-01-26T23:02:02.234Z
4.49224,4.49224,,602061726,2023-01-27T23:01:55.269Z
4.50653,4.50653,,594351373,2023-01-28T23:02:00.395Z
4.46786,4.46786,,623683103,2023-01-29T23:02:06.284Z
4.39084,4.39084,,593697783,2023-01-30T23:01:54.118Z
4.36544,4.36544,,601837365,2023-01-31T23:01:57.695Z
4.1883,4.1883,,626096613,2023-02-01T23:24:04.654Z
4.21152,4.21152,,634070009,2023-02-02T23:02:06.515Z
4.50316,4.50316,,637554646,2023-02-03T23:02:05.228Z
4.7252,4.7252,,647823243,2023-02-04T23:02:07.149Z
4.85814,4.85814,,631212259,2023-02-05T23:01:47.900Z
4.92983,4.92983,,632565749,2023-02-06T23:02:17.086Z
4.85625,4.85625,,645456870,2023-02-07T23:02:01.676Z
4.84196,4.84196,,642781574,2023-02-08T23:02:11.230Z
4.67973,4.67973,,601051914,2023-02-09T23:02:15.312Z
4.54459,4.54459,,591343610,2023-02-10T23:02:04.042Z
4.5653,4.5653,,609219236,2023-02-11T23:02:04.769Z
4.48733,4.48733,,602496209,2023-02-12T23:02:03.384Z
4.50672,4.50672,,599482050,2023-02-13T23:01:45.124Z
4.48429,4.48429,,625742773,2023-02-14T23:01:45.829Z
4.41409,4.41409,,674060243,2023-02-15T23:01:54.720Z
4.52171,4.52171,,668299327,2023-02-16T23:02:03.191Z
4.54889,4.54889,,688391086,2023-02-17T23:12:46.821Z
4.76229,4.76229,,688754225,2023-02-18T23:01:59.423Z
4.78659,4.78659,,690034525,2023-02-19T23:02:02.491Z
4.70051,4.70051,,697122125,2023-02-20T23:01:53.333Z
4.69854,4.69854,,680367958,2023-02-21T23:01:54.186Z
4.54571,4.54571,,675576985,2023-02-22T23:01:57.665Z
4.50535,4.50535,,680943026,2023-02-23T23:01:49.891Z
4.32883,4.32883,,668423782,2023-02-24T23:02:06.500Z
4.26301,4.26301,,663396708,2023-02-25T23:02:06.770Z
4.33803,4.33803,,683642921,2023-02-26T23:01:40.111Z
4.29622,4.29622,,687293823,2023-02-27T23:01:52.459Z
4.26779,4.26779,,676287632,2023-02-28T23:01:48.208Z
4.26108,4.26108,,697001144,2023-03-01T23:02:05.910Z
4.27967,4.27967,,699537246,2023-03-02T23:01:56.906Z
4.29096,4.29096,,665225453,2023-03-03T23:01:50.842Z
4.32106,4.32106,,665181183,2023-03-04T23:02:00.423Z
4.37896,4.37896,,666421798,2023-03-05T23:02:10.590Z
4.32477,4.32477,,668924073,2023-03-06T23:01:51.942Z
4.36221,4.36221,,662549840,2023-03-07T23:13:08.067Z
4.31421,4.31421,,667456920,2023-03-08T23:01:58.972Z
4.32296,4.32296,,618846547,2023-03-09T23:02:06.716Z
4.19182,4.19182,,614715019,2023-03-10T23:12:52.284Z
4.25307,4.25307,,630839328,2023-03-11T23:23:50.868Z
5.58851,5.58851,,677459130,2023-03-12T23:23:40.724Z
5.56053,5.56053,,728518702,2023-03-13T23:02:36.024Z
5.81853,5.81853,,737572644,2023-03-14T23:02:15.626Z
6.29342,6.29342,,725020433,2023-03-15T23:02:10.991Z
5.96917,5.96917,,734962697,2023-03-16T23:02:15.721Z
5.96905,5.96905,,781170632,2023-03-17T23:02:06.159Z
5.94973,5.94973,,780773872,2023-03-18T23:02:15.741Z
4.92037,4.92037,,796245430,2023-03-19T23:02:01.090Z
4.7798,4.7798,,778302401,2023-03-20T23:02:11.556Z
4.61938,4.61938,,795780351,2023-03-21T23:02:13.371Z
4.6133,4.6133,,767045498,2023-03-22T23:02:08.800Z
4.3899,4.3899,,803171046,2023-03-23T23:02:13.864Z
4.12752,4.12752,,775817585,2023-03-24T23:02:07.608Z
4.10981,4.10981,,775126874,2023-03-25T23:02:11.894Z
4.11874,4.11874,,787184965,2023-03-26T23:02:24.120Z
3.93268,3.93268,,759450125,2023-03-27T23:02:22.377Z
3.908,3.908,,785247575,2023-03-28T23:02:25.014Z
4.03897,4.03897,,794848948,2023-03-29T23:02:10.878Z
4.03897,4.03897,,793620419,2023-03-30T23:02:03.327Z
4.01185,4.01185,,813482925,2023-03-31T23:02:28.382Z
4.16241,4.16241,,814569697,2023-04-01T23:02:03.246Z
4.00993,4.00993,,799770095,2023-04-02T23:02:11.582Z
3.99597,3.99597,,806584335,2023-04-03T23:02:24.657Z
3.82985,3.82985,,834229344,2023-04-04T23:02:12.406Z
3.8356,3.8356,,878602959,2023-04-05T23:02:02.363Z
3.92949,3.92949,,860358856,2023-04-06T23:02:12.990Z
3.88229,3.88229,,860289566,2023-04-07T23:02:39.120Z
3.93223,3.93223,,854866402,2023-04-08T23:02:24.567Z
3.81909,3.81909,,863427909,2023-04-09T23:02:15.838Z
3.70728,3.70728,,883509687,2023-04-10T23:02:03.802Z
3.65308,3.65308,,878143842,2023-04-11T23:02:18.646Z
3.53288,3.53288,,886536709,2023-04-12T23:02:36.466Z
3.4653,3.4653,,932134482,2023-04-13T23:02:11.701Z
3.48915,3.48915,,981315683,2023-04-14T23:02:29.726Z
3.50072,3.50072,,975545584,2023-04-15T23:02:29.183Z
3.49925,3.49925,,991853872,2023-04-16T23:02:15.862Z
3.4702,3.4702,,973939121,2023-04-17T23:02:18.327Z
3.50295,3.50295,,1011586728,2023-04-18T23:02:36.911Z
3.52154,3.52154,,972278033,2023-04-19T23:02:19.410Z
3.52154,3.52154,,966210798,2023-04-20T23:02:34.929Z
4.44574,4.44574,,946061446,2023-04-21T23:02:28.901Z
4.66484,4.66484,,977414436,2023-04-22T23:02:50.794Z
5.01147,5.01147,,974873224,2023-04-23T23:02:37.402Z
5.0711,5.0711,,970468434,2023-04-24T23:02:26.110Z
5.08553,5.08553,,1009794546,2023-04-25T23:02:36.329Z
5.03218,5.03218,,1024137249,2023-04-26T23:02:37.978Z
4.93183,4.93183,,1067113204,2023-04-27T23:02:35.351Z
4.91845,4.91845,,1076622739,2023-04-28T23:02:43.629Z
4.86815,4.86815,,1093670874,2023-04-29T23:02:25.795Z
4.87587,4.87587,,1097024074,2023-04-30T23:02:44.552Z
4.85196,4.85196,,1056998949,2023-05-01T23:02:25.025Z
4.99424,4.99424,,1094980626,2023-05-02T23:02:43.165Z
5.04079,5.04079,,1121163292,2023-05-03T23:02:21.566Z
5.08742,5.08742,,1105363190,2023-05-04T23:02:40.806Z
5.08963,5.08963,,1186782005,2023-05-05T23:02:14.088Z
5.45748,5.45748,,1133845234,2023-05-06T23:02:28.458Z
5.7287,5.7287,,1144597597,2023-05-07T23:02:34.491Z
5.86067,5.86067,,1109739307,2023-05-08T23:02:34.901Z
5.81758,5.81758,,1114450722,2023-05-09T23:02:47.420Z
5.83222,5.83222,,1120377471,2023-05-10T23:02:18.313Z
5.74701,5.74701,,1093832399,2023-05-11T23:02:44.855Z
5.78684,5.78684,,1123535098,2023-05-12T23:02:38.051Z
5.3652,5.3652,,1142143126,2023-05-13T23:02:26.298Z
5.16593,5.16593,,1152455956,2023-05-14T23:02:50.322Z
5.16593,5.16593,,1174658514,2023-05-15T23:02:39.140Z
5.16593,5.16593,,1181299164,2023-05-16T23:02:46.681Z
5.16593,5.16593,,1200369934,2023-05-17T23:03:13.324Z
5.16593,5.16593,,1205214792,2023-05-18T23:02:26.371Z
5.16593,5.16593,,1219875376,2023-05-19T23:02:42.748Z
5.16593,5.16593,,1234252698,2023-05-20T23:02:22.470Z
5.16593,5.16593,,1236947286,2023-05-21T23:02:23.789Z
5.16593,5.16593,,1249613677,2023-05-22T23:02:42.752Z
5.16593,5.16593,,1278214217,2023-05-23T23:02:38.820Z
4.385,4.385,,1250837732,2023-05-24T23:02:40.763Z
4.3225,4.3225,,1263481918,2023-05-25T23:02:47.589Z
4.12619,4.12619,,1292895297,2023-05-26T23:02:36.060Z
4.11884,4.11884,,1300811613,2023-05-27T23:02:23.557Z
4.0596,4.0596,,1358112135,2023-05-28T23:02:40.118Z
3.98077,3.98077,,1354365536,2023-05-29T23:02:24.868Z
3.86422,3.86422,,1365338559,2023-05-30T23:06:17.760Z
3.94302,3.94302,,1355204950,2023-05-31T23:02:46.675Z
3.94302,3.94302,,1368752641,2023-06-01T23:02:42.547Z
3.86048,3.86048,,1399835502,2023-06-02T23:03:18.219Z
3.755,3.755,,1391431766,2023-06-03T23:02:36.412Z
3.72189,3.72189,,1406020873,2023-06-04T23:02:22.846Z
3.69339,3.69339,,1361402411,2023-06-05T23:02:46.335Z
3.74388,3.74388,,1418866088,2023-06-06T23:02:41.245Z
3.52693,3.52693,,1387604909,2023-06-07T23:02:55.372Z
3.35841,3.35841,,1410142049,2023-06-08T23:02:45.719Z
3.21032,3.21032,,1403886425,2023-06-09T23:02:42.714Z
3.21032,3.21032,,1342781943,2023-06-10T23:02:41.548Z
3.21032,3.21032,,1348425034,2023-06-11T23:02:55.009Z
3.10255,3.10255,,1342025573,2023-06-12T23:02:58.900Z
2.87436,2.87436,,1339518436,2023-06-13T23:02:48.991Z
2.86741,2.86741,,1276228403,2023-06-14T23:02:40.770Z
2.91362,2.91362,,1294735795,2023-06-15T23:02:57.635Z
3.07786,3.07786,,1339970608,2023-06-16T23:02:47.433Z
3.1122,3.1122,,1350630636,2023-06-17T23:02:44.620Z
3.06221,3.06221,,1350023466,2023-06-18T23:02:42.555Z
3.09876,3.09876,,1360143033,2023-06-19T23:02:57.863Z
3.09219,3.09219,,1408384287,2023-06-20T23:02:54.682Z
3.10399,3.10399,,1491789174,2023-06-21T23:02:56.582Z
3.13134,3.13134,,1489339802,2023-06-22T23:02:36.743Z
3.1407,3.1407,,1502572837,2023-06-23T23:02:50.153Z
3.10714,3.10714,,1491210833,2023-06-24T23:03:09.419Z
3.10714,3.10714,,1513982504,2023-06-25T23:02:40.056Z
3.10714,3.10714,,1482738900,2023-06-26T23:02:42.441Z
3.09143,3.09143,,1507638112,2023-06-27T23:03:03.833Z
3.14655,3.14655,,1463539431,2023-06-28T23:02:36.388Z
3.14655,3.14655,,1487267874,2023-06-29T23:02:53.929Z
3.13265,3.13265,,1553741062,2023-06-30T23:02:55.400Z
3.16366,3.16366,,1542256632,2023-07-01T23:02:57.661Z
3.17403,3.17403,,1569523158,2023-07-02T23:02:45.652Z
3.20986,3.20986,,1582738919,2023-07-03T23:02:59.938Z
3.20986,3.20986,,1573316756,2023-07-04T23:02:52.609Z
3.21993,3.21993,,1546930011,2023-07-05T23:02:42.491Z
3.15749,3.15749,,1517178463,2023-07-06T23:02:39.519Z
3.1816,3.1816,,1519007406,2023-07-07T23:03:06.772Z
3.17452,3.17452,,1514362060,2023-07-08T23:02:45.173Z
3.16562,3.16562,,1525083550,2023-07-09T23:02:48.231Z
3.16562,3.16562,,1536242046,2023-07-10T23:02:52.164Z
3.3196,3.3196,,1540483363,2023-07-11T23:02:43.872Z
3.31408,3.31408,,1549834164,2023-07-12T23:02:48.559Z
3.36821,3.36821,,1653694242,2023-07-13T23:02:25.885Z
3.45852,3.45852,,1601645792,2023-07-14T23:02:49.972Z
3.37565,3.37565,,1604692666,2023-07-15T23:02:42.889Z
3.37565,3.37565,,1608858439,2023-07-16T23:02:44.553Z
3.34619,3.34619,,1592256451,2023-07-17T23:02:55.349Z
3.30422,3.30422,,1583722476,2023-07-18T23:02:50.151Z
3.3396,3.3396,,1574958571,2023-07-19T23:03:00.799Z
3.28846,3.28846,,1577831874,2023-07-20T23:02:45.453Z
3.30426,3.30426,,1613396496,2023-07-21T23:02:40.879Z
3.30426,3.30426,,1607789868,2023-07-22T23:02:41.304Z
3.30426,3.30426,,1608598763,2023-07-23T23:02:54.388Z
3.51514,3.51514,,1570390059,2023-07-24T23:02:42.834Z
3.56522,3.56522,,1582188898,2023-07-25T23:02:36.635Z
3.61524,3.61524,,1595464294,2023-07-26T23:02:42.880Z
3.66092,3.66092,,1587436520,2023-07-27T23:02:38.382Z
3.59635,3.59635,,1608434597,2023-07-28T23:02:54.951Z
3.50657,3.50657,,1613004089,2023-07-29T23:02:55.615Z
3.58945,3.58945,,1591844722,2023-07-30T23:02:57.349Z
5.14311,5.14311,,1583381285,2023-07-31T23:02:53.726Z
5.11357,5.11357,,1583427706,2023-08-01T23:02:52.544Z
5.11357,5.11357,,1582212130,2023-08-02T23:02:52.635Z
5.11357,5.11357,,1583486701,2023-08-03T23:03:14.680Z
5.20912,5.20912,,1583799436,2023-08-04T23:02:50.732Z
5.20912,5.20912,,1595495211,2023-08-05T23:02:53.143Z
5.06336,5.06336,,1592130526,2023-08-06T23:02:50.656Z
3.45135,3.45135,,1596965968,2023-08-07T23:03:03.129Z
3.51076,3.51076,,1627755126,2023-08-08T23:02:48.955Z
3.4984,3.4984,,1629158534,2023-08-09T23:02:28.330Z
3.32569,3.32569,,1627979164,2023-08-10T23:02:58.538Z
3.32187,3.32187,,1623093533,2023-08-11T23:03:27.047Z
3.30144,3.30144,,1627820732,2023-08-12T23:02:52.499Z
3.33627,3.33627,,1622417238,2023-08-13T23:03:06.916Z
3.32536,3.32536,,1630391169,2023-08-14T23:03:12.234Z
3.27558,3.27558,,1613417857,2023-08-15T23:02:57.328Z
3.26608,3.26608,,1601589468,2023-08-16T23:02:48.281Z
4.19626,4.19626,,1472370374,2023-08-17T23:03:04.440Z
4.19246,4.19246,,1472983668,2023-08-18T23:03:06.697Z
4.25744,4.25744,,1477720900,2023-08-19T23:02:46.979Z
4.25744,4.25744,,1496533197,2023-08-20T23:02:40.362Z
4.25744,4.25744,,1485294300,2023-08-21T23:02:56.420Z
4.31931,4.31931,,1442084616,2023-08-22T23:03:18.655Z
4.30806,4.30806,,1501165027,2023-08-23T23:03:01.428Z
4.30806,4.30806,,1488535624,2023-08-24T23:03:08.749Z
3.47278,3.47278,,1489255759,2023-08-25T23:03:12.426Z
3.47285,3.47285,,1486415131,2023-08-26T23:03:02.068Z
3.43848,3.43848,,1501328912,2023-08-27T23:03:01.447Z
3.41225,3.41225,,1496373757,2023-08-28T23:03:06.597Z
3.41627,3.41627,,1565404961,2023-08-29T23:02:57.040Z
3.41782,3.41782,,1547430657,2023-08-30T23:03:11.788Z
3.37962,3.37962,,1506469275,2023-08-31T23:03:01.683Z
3.50028,3.50028,,1500112801,2023-09-01T23:02:53.681Z
3.4348,3.4348,,1510635241,2023-09-02T23:03:00.134Z
3.42855,3.42855,,1509135010,2023-09-03T23:02:50.345Z
3.45899,3.45899,,1503824855,2023-09-04T23:02:59.978Z
3.82442,3.82442,,1515365730,2023-09-05T23:03:06.154Z
3.82442,3.82442,,1517631170,2023-09-06T23:03:08.275Z
3.75667,3.75667,,1540903837,2023-09-07T23:03:02.648Z
3.62738,3.62738,,1523727065,2023-09-08T23:02:52.894Z
3.62738,3.62738,,1528751059,2023-09-09T23:03:09.867Z
3.62738,3.62738,,1512688314,2023-09-10T23:03:05.374Z
3.62738,3.62738,,1446663159,2023-09-11T23:03:09.888Z
3.23739,3.23739,,1487932085,2023-09-12T23:13:36.863Z
3.26412,3.26412,,1501400322,2023-09-13T23:03:07.125Z
3.26768,3.26768,,1523705004,2023-09-14T23:02:56.263Z
3.20485,3.20485,,1541029251,2023-09-15T23:03:02.536Z
3.21108,3.21108,,1533234476,2023-09-16T23:03:05.717Z
3.16695,3.16695,,1518235110,2023-09-17T23:02:55.823Z
3.24013,3.24013,,1540332910,2023-09-18T23:03:01.154Z
3.25797,3.25797,,1542278232,2023-09-19T23:02:43.689Z
3.25797,3.25797,,1526131668,2023-09-20T23:02:40.840Z
3.22303,3.22303,,1493091670,2023-09-21T23:02:43.357Z
3.25537,3.25537,,1501163834,2023-09-22T23:02:50.205Z
3.21066,3.21066,,1502131852,2023-09-23T23:02:59.100Z
3.16803,3.16803,,1499964204,2023-09-24T23:02:46.435Z
3.13038,3.13038,,1498923807,2023-09-25T23:02:46.327Z
3.06836,3.06836,,1502866057,2023-09-26T23:02:43.008Z
3.08126,3.08126,,1511061728,2023-09-27T23:02:57.955Z
3.07236,3.07236,,1563417746,2023-09-28T23:02:41.061Z
3.07236,3.07236,,1581076961,2023-09-29T23:02:57.079Z
3.07236,3.07236,,1590456154,2023-09-30T23:02:45.654Z
3.07236,3.07236,,1643808174,2023-10-01T23:02:45.744Z
3.07236,3.07236,,1577861012,2023-10-02T23:02:47.173Z
3.07236,3.07236,,1573985800,2023-10-03T23:02:46.480Z
3.07236,3.07236,,1570164630,2023-10-04T23:02:32.334Z
3.07236,3.07236,,1542458713,2023-10-05T23:02:32.445Z
3.07236,3.07236,,1572877870,2023-10-06T23:02:59.207Z
3.07236,3.07236,,1566186052,2023-10-07T23:02:35.660Z
3.07236,3.07236,,1562791949,2023-10-08T23:02:43.346Z
3.07236,3.07236,,1513154079,2023-10-09T23:02:41.475Z
3.07236,3.07236,,1507627495,2023-10-10T23:02:33.856Z
3.07236,3.07236,,1511207861,2023-10-11T23:02:50.699Z
3.07236,3.07236,,1488393929,2023-10-12T23:02:51.388Z
3.07236,3.07236,,1500575414,2023-10-13T23:02:28.274Z
3.07236,3.07236,,1511023065,2023-10-14T23:02:51.024Z
3.07236,3.07236,,1512183787,2023-10-15T23:02:33.047Z
2.93554,2.93554,,1542852504,2023-10-16T23:02:34.029Z
2.93554,2.93554,,1520070765,2023-10-17T23:02:54.462Z
2.93554,2.93554,,1524790545,2023-10-18T23:02:55.392Z
3.02841,3.02841,,1524554394,2023-10-19T23:02:49.193Z
3.02841,3.02841,,1569933684,2023-10-20T23:03:18.734Z
3.02841,3.02841,,1593671815,2023-10-21T23:02:24.320Z
3.02841,3.02841,,1614952702,2023-10-22T23:02:48.375Z
3.02841,3.02841,,1730040143,2023-10-23T23:02:51.583Z
3.02841,3.02841,,1749964795,2023-10-24T23:02:51.525Z
3.02841,3.02841,,1754811514,2023-10-25T23:02:18.520Z
3.02841,3.02841,,1767719915,2023-10-26T23:02:09.644Z
3.02841,3.02841,,1749878096,2023-10-27T23:02:19.134Z
3.02841,3.02841,,1753236584,2023-10-28T23:02:05.200Z
3.02841,3.02841,,1786233958,2023-10-29T23:03:10.105Z
3.02841,3.02841,,1802260435,2023-10-30T23:02:15.222Z
3.02841,3.02841,,1804208756,2023-10-31T23:02:04.414Z
3.02841,3.02841,,1835108636,2023-11-01T23:12:31.501Z
3.02841,3.02841,,1796794746,2023-11-02T23:02:39.537Z
3.02841,3.02841,,1824680801,2023-11-03T23:03:33.707Z
3.02841,3.02841,,1854402522,2023-11-04T23:02:37.440Z
3.02841,3.02841,,1882787783,2023-11-05T23:02:41.379Z
3.02841,3.02841,,1902072355,2023-11-06T23:02:23.340Z
3.11521,3.11521,,1886702632,2023-11-07T23:02:21.942Z
3.11521,3.11521,,1897184637,2023-11-08T23:02:08.273Z
3.11521,3.11521,,2107004121,2023-11-09T23:02:50.709Z
3.11521,3.11521,,2096845103,2023-11-10T23:02:11.552Z
3.11521,3.11521,,2060701841,2023-11-11T23:02:26.570Z
3.11521,3.11521,,2073697967,2023-11-12T23:02:22.023Z
3.33839,3.33839,,2077483714,2023-11-13T23:02:15.715Z
3.43023,3.43023,,2019380666,2023-11-14T23:02:51.056Z
3.43023,3.43023,,2089454442,2023-11-15T23:02:27.439Z
3.43023,3.43023,,2005478932,2023-11-16T23:02:08.522Z
3.40866,3.40866,,1989261494,2023-11-17T23:02:11.974Z
3.40866,3.40866,,1974584534,2023-11-18T12:02:49.692Z